ID,word_count,t100,t1000,t1200,t1300,t1400,t1500,t1600,t1700,t1800,t1900,t200,t2000,t2100,t2300,t24,t29,t300,t400,t500,t600,t700,t800,t900
1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA,NA
4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1283,2185,5676,NA,NA,NA,NA,NA,NA,NA,6313,3300,3093,NA,NA,NA,NA,NA,NA,360,5135,NA,2205,NA
7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1580,5833,NA,5571,6615,NA,NA,NA,NA,NA,3070,5406,3529,NA,NA,NA,NA,7664,NA,6721,5480,NA,4047,5940
10,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,766,NA,NA,2611,NA,NA,NA,NA,NA,NA,NA,4221,2482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2217
15,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,705,1924,NA,NA,NA,NA,2163,NA,NA,NA,NA,NA,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,1665,NA
17,652,NA,NA,NA,197,NA,NA,NA,NA,NA,NA,NA,119,NA,NA,NA,NA,225,NA,NA,NA,NA,NA,NA
18,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1218,NA,NA,6139,4960,NA,NA,NA,NA,NA,NA,NA,5085,NA,NA,NA,NA,NA,NA,NA,3788,NA,NA,NA
20,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,580,616,NA,NA,588,NA,NA,NA,NA,NA,NA,NA,1130,NA,NA,NA,NA,NA,NA,616,NA,NA,NA,NA
24,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,700,NA,NA,NA,NA,NA,NA,917,NA,NA,NA,3550,657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,519,1008,NA,NA,NA,NA,NA,NA,1574,838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,550,1310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1339,2699,NA,NA,1826,4722,2785,7004,NA,NA,NA,NA,4586,NA,NA,NA,NA,NA,NA,2699,5863,7798,NA,NA
31,2247,8015,8744,8377,909,NA,NA,NA,NA,NA,NA,NA,4198,NA,12234,NA,NA,12776,NA,NA,NA,NA,NA,NA
32,516,2239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,958,2772,NA,NA,NA,NA,NA,915,NA,NA,1669,NA,1585,NA,NA,NA,NA,NA,NA,3639,3788,NA,2918,NA
34,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,2765,2778,NA,8704,NA,NA,4036,14519,NA,NA,13806,8511,10284,NA,NA,NA,NA,NA,NA,2447,NA,NA,NA,NA
36,930,NA,NA,NA,NA,NA,NA,3759,NA,240,4394,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,992,1792,NA
37,1500,2723,NA,NA,NA,NA,NA,NA,NA,NA,1440,1312,140,NA,NA,NA,NA,1650,NA,NA,NA,NA,NA,NA
38,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,666,NA,NA,NA,NA,NA,NA,3853,NA,NA,1211,NA,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,NA,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,448,NA,NA,NA,NA,NA,NA,2066,NA,NA,NA,NA,2233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
