ID	body
1	La séance est ouverte à 14.28 heures et présidée par M. André Flahaut.   De vergadering wordt geopend om 14.28 uur en voorgezeten door de heer André Flahaut.       Le  
2	President: La séance est ouverte.   De vergadering is geopend.       Une série de communications et de décisions doivent être portées à la connaissance de la Chambre. Elles seront reprises sur le site web de la Chambre et insérées dans l'annexe du compte rendu intégral de cette séance.   Een reeks mededelingen en besluiten moeten ter kennis gebracht worden van de Kamer. Zij worden op de website van de Kamer en in de bijlage bij het integraal verslag van deze vergadering opgenomen.       Ministres du gouvernement fédéral présents lors de l’ouverture de la séance:   Aanwezig bij de opening van de vergadering zijn de ministers van de federale regering:   Pieter De Crem, Didier Reynders, Koen Geens, Servais Verherstraeten, Hendrik Bogaert        
3	Excusés   Berichten van verhindering       Eva Brems, Minneke De Ridder, Guy D'haeseleer, Flor Van Noppen, pour raisons de santé / wegens gezondheidsredenen;   Linda Musin, Karel Uyttersprot, pour raisons familiales / wegens familiale redenen;   Sabien Lahaye-Battheu, en mission à l'étranger / met zending buitenslands.        
4	01 Éloge funèbre – M. Jos Chabert   01 Rouwhulde – de heer Jos Chabert       Le  
5	President (devant l’assemblée debout)   De  
6	Voorzitter (voor de staande vergadering)       Chers Collègues,       Le Ministre d’État, Jos Chabert, ancien membre de la Chambre, nous a quittés ce 9 avril 2014.       Né à Etterbeek, le 16 mars 1933, Jos Chabert fit ses humanités au collège Saint-Jean Berchmans à Bruxelles et au petit séminaire de Malines. Il étudia ensuite le droit à la KU Leuven.        Na zijn studie combineerde hij een loopbaan als advocaat bij het Brusselse hof van beroep met een politiek engagement dat doordesemd was van het christendemocratische gedachtegoed, dat als een rode draad door zijn leven loopt.        Echevin des finances à Meise, commune du Brabant flamand, à 23 ans, Jos Chabert fut élu membre de la Chambre, à 35 ans, sur la liste PSC-CVP de Paul Vanden Boeynants. Champion des voix de préférence, il fit son entrée dans cet hémicycle le 31 mars 1968 et devint en 1971 président du groupe CVP.       In 1973, hij was toen 40 jaar, werd hij voor het eerst minister, met de portefeuille van Nederlandse Cultuur en Vlaamse Aangelegenheden in de regering-Edmond Leburton.        Elu sénateur de l’arrondissement de Bruxelles en 1974, il fut membre du Sénat jusqu’au 17 octobre 1991. Le 25 avril 1974 il est nommé ministre des Communications dans le premier gouvernement Tindemans. Il conservera ce portefeuille jusqu’au 18 mai 1980 dans le deuxième gouvernement Tindemans et dans les deux premiers gouvernements de Wilfried Martens. Il réussit notamment à imposer des mesures aussi impopulaires que nécessaires, à savoir le port obligatoire de la ceinture de sécurité, les limitations de vitesse et un contrôle plus strict du taux d’alcoolémie au volant.       Van 18 mei 1980 tot 17 december 1981 was hij vice-eersteminister en minister van Openbare Werken en Institutionele Hervormingen in de derde regering-Martens en in de regering-Eyskens.        Citoyen du monde, maîtrisant plusieurs langues, son intérêt permanent pour les relations internationales le conduisit tout naturellement à effectuer de nombreuses missions à l’étranger. Ainsi, en 1982, il est nommé délégué à l’assemblée générale des Nations Unies et de 1984 à 1985 au Japon, commissaire général du gouvernement belge pour l’exposition universelle de Tsukuba.       In 1989 werd hij in de eerste Brusselse gewestregering minister van Begroting, Financiën, Energie en Buitenlandse Betrekkingen, een portefeuille die hij behield tot 1999. Nadien werd hij minister van Openbare Werken en Vervoer, tot 2004.        En 2000, il assuma pendant deux ans la présidence du Comité des Régions. Une fois encore il allait s’investir totalement dans ses nouvelles fonctions et oeuvrer au renforcement de la dimension régionale dans le processus de décision européen. A l’issue de son mandat il fut invité à devenir membre de la Convention pour l’avenir de l’Europe chargée de redéfinir le rôle de l’Europe et d’en améliorer le fonctionnement afin de préparer la rédaction de la Constitution européenne.       Hij was in de Senaat rapporteur voor de bijzondere wet van 12 januari 1989 met betrekking tot de Brusselse Instellingen en zijn naam blijft dan ook verbonden met de oprichting van het Brussels Gewest, dat hij door en door kende. Brussel is mijn leven was trouwens een van zijn verkiezingsslogans. In 2004, als eerste ondervoorzitter van het Brussels Parlement, bleef hij het Brussels Gewest verdedigen. Het was zijn diepste wens dat de toekomstige generaties het Brusselse model – waarvan diversiteit en openheid de grootste rijkdom zijn – zouden kunnen blijven uitbouwen.        Homme d’État expérimenté, actif pendant quelque quarante ans à tous les niveaux de pouvoir, européen, fédéral, régional et communal, Jos Chabert s’est toujours efforcé de combiner dialogue, tolérance et respect mutuel. En tant que membre de nombreux gouvernements il fit toujours preuve d’une gestion sérieuse et responsable, de courage politique et d’un engagement au quotidien.       Problemen werden altijd eerst afgebakend, zonder dat hij zich tot boude uitspraken liet verleiden en zonder dat hij zijn gebruikelijke flegma verloor. Dan bracht hij met de nodige voorzichtigheid overleg op gang. Hij was een beminnelijk man, die erin slaagde tegengestelde standpunten te verzoenen, waardoor hij alom gewaardeerd werd, door zowel Franstaligen en Nederlandstaligen als anderstaligen.        En dehors de cette vie et de cette carrière bien remplies, il subsistera de Jos Chabert le souvenir d’un homme engagé et passionné qui se distingua toute sa vie par une grande générosité de cœur.       J’ai présenté les condoléances de notre assemblée à la famille du défunt.       01.01 Minister Pieter De Crem: Mijnheer de voorzitter, beste collega’s regeringsleden en Kamerleden, bij het overlijden van minister van Staat Jos Chabert op 9 april laatstleden, hebben wij op korte tijd opnieuw afscheid moeten nemen van een gedreven politicus en een gerespecteerd christendemocraat.        Jos Chabert werd in 1933 geboren in Etterbeek. Dit maakt van hem een man die in de loop van zijn leven enorme veranderingen zag plaatsvinden. Hij koos er echter al snel voor om niet aan de kantlijn toe te kijken hoe de wereld veranderde maar wel om zelf een actieve rol te spelen en vernieuwingen te realiseren. Zijn vader was actief in de lokale politiek in Woluwe, maar Jos werd pas echt gebeten door het politieke virus tijdens zijn studententijd in Leuven, waar hij ook, onder anderen, Mark Eyskens en Wilfried Martens leerde kennen. Wat volgde is zonder meer een indrukwekkende politieke carrière, waarmee hij een onuitwisbare indruk naliet op zowel zijn generatie als de volgende.        De mens stond bij hem steeds centraal. Dit kwam misschien wel het sterkst tot uiting toen hij minister van Verkeerswezen en Communicatie werd in 1974 en waarbij hij zwaar inzette op verkeersveiligheid en meer bepaald op de fysieke veiligheid van de weggebruiker met de invoering van, onder meer, de snelheidsbeperking tot 120 kilometer per uur, de verplichte gordeldracht en versterkte controles.        Jos Chabert zetelde veertig jaar in het Parlement en had een ministeriële carrière van zowat een kwarteeuw. Met een dergelijke staat van dienst kende hij natuurlijk hoogtepunten en tegenslagen, was hij getuige van de toppen en de dalen van het politieke bestaan, waardoor hij leerde te relativeren maar ook ruim te denken.       Als man van de wereld had hij ook een niet aflatende belangstelling voor wat er zich buiten onze landsgrenzen afspeelde en voerde hij als envoyé spécial veel buitenlandse zendingen uit. Dit maakte van Jos Chabert een echte ambassadeur van België in het buitenland. Eigenlijk kunnen wij zeggen dat hij in de praktijk vaak minister van Buitenlandse Zaken was, zonder het ooit in titel te zijn geweest.       Deze unieke carrière is vooral te danken aan het karakter van minister Chabert. Geboren in Brussel lag het lot van de hoofdstad hem na aan het hart, net als de resultaten van paars-wit trouwens, voor wie hij vurig en hevig supporterde. Dit kon men ook onmiddellijk horen aan de wijze waarop hij over zijn stad sprak en de warmte waarmee hij het woord Brussel in de mond nam. Hij koesterde een diepe liefde voor alle Brusselaars, van de Hoogstraat over het Vossenplein en de Zavel tot de Louizalaan. Een andere grote verdienste was dat hij steeds streefde naar het overleg, een rol die hij als feitelijke Vlaamse minister-president voor het Brussels Gewest vanaf 1989 voortreffelijk vervulde.       Iedereen die met hem mocht samenwerken, zal kunnen getuigen dat minister van Staat Chabert over een uniek charisma beschikte. Hij was een man die steeds bereid was om naar iedereen te luisteren, maar ook een sterk leidersfiguur met een grote bezorgdheid die problemen niet uit de weg ging.       Zijn nalatenschap is van grote betekenis voor ons allen.       Ik wens dan ook in naam van de regering en tevens van de Vlaamse christendemocraten ons oprecht medeleven aan te bieden aan de familie en de naasten van minister Jos Chabert, in het bijzonder aan zijn echtgenote en zijn zoon Marc en de familie die hier vandaag op de tribune aanwezig is.       De Kamer neemt een minuut stilte in acht.   La Chambre observe une minute de silence.        
7	Scrutins   Geheime stemmingen        
8	02 Centre interfédéral pour l'égalité des chances et la lutte contre le racisme et les discriminations  -  Nomination des membres effectifs du conseil d'administration (3562/1)   02 Interfederaal Centrum voor gelijke kansen en bestrijding van discriminatie en racisme  -  Benoeming van de vaste leden van de raad van bestuur (3562/1)       Le  
9	President: L'ordre du jour appelle la nomination des membres effectifs du conseil d'administration du Centre interfédéral pour l'égalité des chances et la lutte contre le racisme et les discriminations.   Aan de orde is de geheime stemming voor de benoeming van de vaste leden van de raad van bestuur van het Interfederaal Centrum voor gelijke kansen en bestrijding van discriminatie en racisme.       À la suite de l’appel aux candidats pour le mandat de membre du conseil d’administration du Centre interfédéral pour l’égalité des chances et la lutte contre le racisme et les discriminations, paru au Moniteur belge du 31 mars 2014, les candidatures suivantes ont été introduites dans les délais requis:   - M. Yves Aerts  (N), coordinateur CAVARIA;   - Mme Shaireen Aftab  (N), criminologue, accompagnateur de formation caserne Dossin à Malines;   - M. Jan Beddeleem  (N), assistant social;   - M. Abdelkarim Bellakfih  (N), chef de formation chimie à la “Artesis-Plantijn Hogeschool Antwerpen”;   - Mme Naima Charkaoui  (N), directrice du Forum des minorités ethniques et culturelles asbl;   - M.  Louis-Léon Christians  (F), professeur à l’Université catholique de Louvain-la-Neuve;   - M. Peter Coppens  (N), juge auprès du tribunal de première instance de Gand;   - Prof. dr. Daniël Cuypers  (N), professeur ordinaire à l’Université d’Anvers;   - Mme Ingrid Declunder  (N), coordinatrice générale “Opvoeden in Brussel vzw”;   - M. Paolo De Francesco  (N), conseiller Ceder, service d’étude CD&V, Centre d’expertise marché du travail;   - M. Siméon de Hey  (F), professeur d'anglais;   - Mme Aleksandra Delanghe  (N), collaboratrice politique asile et migration, service d’étude sp.a;   - M. Thierry Delaval  (F), délégué de la Fédération Wallonie-Bruxelles et de la Wallonie auprès de l’Union européenne, président de l’asbl Arc-en-Ciel Wallonie;   - M. Didier de Laveleye  (F), coordinateur régional (Mission locale de Forest asbl);   - Mme Maïté De Rue  (F), substitut du procureur général à Liège;   - Mme Nathalie Diesbecq  (N), bureau d’études ACV;   - M. Hajib El Hajjaji  (F), ingénieur-projet;   - Mme Claire Godding  (F), Manager de BNP Paribas Fortis;   - Mme Jacqueline Goegebeur  (N), informaticienne;   - M. Henri Goldman  (F), architecte, rédacteur en chef MICmag;   - Mme Marianne Gratia  (F), conseillère juridique SPF Sécurité sociale;   - M. Marc Gross (N), avocat au barreau d’Anvers;   - M. Marc Hordies  (F), pensionné;   - M. Philippe Housiaux  (F), CEO de Dialogic;   - Prof. dr. Bernard Hubeau  (N), professeur ordinaire, Faculté de Droit, Université d’Anvers ;   - Mme Saida Isbai  (N), consultante diversité auprès d’”ACV”;   - Mme Christine Kulakowski  (F), directrice auprès du Centre bruxellois d’action culturelle (CBAI);   - M. David Leclercq  (F), Caritas International Belgium, coordinateur de projets Asile et Migration;   - M. Koen Lemmens  (N), chargé de cours droits de l’homme et droit constitutionnel à la KULeuven, avocat (barreau de Bruxelles);   - M. Serge Lipszyc  (F), premier substitut de l’auditeur du travail près le tribunal du travail de Liège;   - Mme Bieke Machiels  (N), responsable étude et politique chez Fedasil;   - Mme Frédérique Mawet  (F), directrice du CIRE (Coordination et Initiatives pour les Réfugiés et les Etrangers);   - Mme Sotieta Ngo  (F), conseillère au sein de l’Institut Emile Vandervelde;   - Mme Christine Nina Niyonsavye  (F), médecin, SPF Santé publique, Sécurité de la chaîne alimentaire, environnement;   - M. Christopher Oliha  (N), vice-président Forum des Minorités asbl;   - M. Bennouda Ould Kherroubi  (F), chercheur en gestion de la diversité HEC Liège et Uhasselt;   - M. Stefaan Peirsman  (N), coordinateur ACV Diversité, Discrimination et Migration;   - M. Eric Reinhard  (F);   - Mme Bernadette Renauld  (F), référendaire à la Cour constitutionnelle;   - Mme An Rosiers (N), conseillère juridique auprès de la Ville de Gand;   - Mme Els Schelfhout  (N), administratrice de la Société belge d’investissement pour les pays en voie de développement; ancienne sénatrice;   - M. Jesse Stroobants  (N), collaborateur scientifique au KULeuven Instituut voor de Overheid;   - Mme Sarah Tak  (N), juriste auprès du Service de médiation flamand;   - Mme Hafida Talhaoui  (N), avocate – juge suppléante auprès du tribunal de première instance d’Anvers;   - M. Alexandre Tihange  (F), directeur des ressources humaines à la Ville de Namur;   - Prof. dr. Herman Van Goethem  (N), professeur ordinaire Université d’Anvers;   - Mme Jinske Verhellen  (N), assistante Universiteit Gent, chargée de cours Oost-Vlaamse bestuursacademie (OBAC);   - M. Jogchum Vrielink  (N), chercheur senior à la KULeuven;   - M. Luc Walleyn  (N), avocat (barreau de Bruxelles et à la Cour pénale internationale), juge de paix suppléant;   - M. Patrick Wautelet  (F), professeur à la Faculté de droit de l’ULG;   - Mme Marijke Weewauters  (N), manager à l’Institut pour l’égalité entre Femmes et Hommes;   - M. Victor Yangandi  (F), senior legal counsel auprès de l’Institut des réviseurs d’entreprises.   Naar aanleiding van de oproep tot kandidaten voor het mandaat van lid van de raad van bestuur van het Interfederaal Centrum voor gelijke kansen en bestrijding van discriminatie en racisme, verschenen in het Belgisch Staatsblad van 31 maart 2014, werden de volgende kandidaturen binnen de voorgeschreven termijn ingediend:   - de heer Yves Aerts  (N), coördinator CAVARIA;   - mevrouw Shaireen Aftab  (N), criminoloog, “accompagnateur de formation” aan de Dossin Kaserne te Mechelen (Franstalige opleiding);   - de heer Jan Beddeleem  (N), maatschappelijke assistent;   - de heer Abdelkarim Bellakfih  (N), opleidingshoofd chemie aan de Artesis-Plantijn Hogeschool te Antwerpen;   - mevrouw Naima Charkaoui  (N), directeur Forum van Etnisch-Culturele Minderheden vzw;   - de heer Louis-Léon Christians  (F), hoogleraar Université catholique de Louvain-la-Neuve;   - de heer Peter Coppens  (N), rechter in de rechtbank van eerste aanleg te Gent;   - Prof. dr. Daniël Cuypers  (N), gewoon hoogleraar Universiteit Antwerpen;   - mevrouw Ingrid Declunder  (N), algemeen coördinator “Opvoeden in Brussel vzw”;   - de heer Paolo De Francesco  (N), Adviseur Ceder, studiedienst CD&V Kenniscentrum arbeidsmarkt;   - de heer Siméon de Hey  (F),  leraar engels;   - mevrouw Aleksandra Delanghe  (N), beleidsmedewerker asiel en migratie sp.a studiedienst;   - de heer Thierry Delaval  (F), afgevaardigde van de “Fédération Wallonie-Bruxelles” en van Wallonië bij de Europese Unie, voorzitter van de vzw Arc-en-Ciel Wallonie;   - de heer Didier de Laveleye  (F), gewestelijk coördinator (Plaatselijk Opdracht van Vorst vzw);   - mevrouw Maïté De Rue  (F), substituut-procureur-generaal te Luik;   - mevrouw Nathalie Diesbecq  (N), studiedienst ACV;   - de heer Hajib El Hajjaji  (F), project-ingenieur;   - mevrouw Claire Godding  (F), Manager van BNP Paribas Fortis;   - mevrouw Jacqueline Goegebeur  (N), informaticus;   - de heer Henri Goldman  (F), architect, hoofdredacteur MICmag;   - mevrouw Marianne Gratia  (F), juridisch adviseur, FOD Sociale Zekerheid;   - de heer Marc Gross  (N), advocaat aan de balie van Antwerpen;   - de heer Marc Hordies  (F), gepensioneerd;   - de heer Philippe Housiaux  (F), CEO van Dialogic;   - Prof. dr. Bernard Hubeau  (N), gewoon hoogleraar, Faculteit Rechten Universiteit Antwerpen;   - mevrouw Saida Isbai  (N), diversiteitsconsulent bij het ACV;   - mevrouw Christine Kulakowski  (F), directeur bij het “Centre bruxellois d’action culturelle (CBAI);   - de heer David Leclercq  (F), Caritas International Belgium, projectcoördinator Asiel en Migratie;   - de heer Koen Lemmens  (N), hoofddocent mensenrechten en grondwettelijk recht aan de KULeuven, advocaat (balie Brussel);   - de heer Serge Lipszyc  (F), eerste substituut van de arbeidsauditeur bij de arbeidsrechtbank van Luik;   - mevrouw Bieke Machiels  (N), verantwoordelijke studie en beleid bij Fedasil;   - mevrouw Frédérique Mawet  (F), directeur van de CIRE (Coordination et Initiatives pour les Réfugiés et les Etrangers);   - mevrouw Sotieta Ngo  (F), adviseur bij het Instituut Emile Vandervelde;   - mevrouw Christine Nina Niyonsavye  (F), arts, FOD Volksgezondheid, Veiligheid van de voedselketen en Leefmilieu;   - de heer Christopher Oliha  (N), ondervoorzitter Minderheden Forum vzw;   - de heer Bennouda Ould Kherroubi  (F), vorser in het beheer van de diversiteit HEC Liège en Uhasselt;   - de heer Stefaan Peirsman  (N), coördinator ACV Diversiteit, Discriminatie en Migratie;   - de heer Eric Reinhard  (F);   - mevrouw Bernadette Renauld  (F), referendaris bij het Grondwettelijk Hof;   - mevrouw An Rosiers  (N), juridisch adviseur bij de Stad Gent;   - mevrouw Els Schelfhout  (N), bestuurder BIO (Belgische Investeringsmaatschappij voor Ontwikkelingslanden), voormalig Senator;   - de heer Jesse Stroobants  (N), wetenschappelijke medewerker aan het KULeuven Instituut voor de Overheid;   - mevrouw Sarah Tak  (N), jurist bij de Vlaamse Ombudsdienst;   - mevrouw Hafida Talhaoui  (N), advocaat – plaatsvervangend rechter in de rechtbank van eerste aanleg te Antwerpen;   - de heer Alexandre Tihange  (F), directeur human resources van de stad Namen;   - Prof. dr. Herman Van Goethem  (N), gewoon hoogleraar Universiteit Antwerpen;   - mevrouw Jinske Verhellen  (N), assistent Universiteit Gent, docent Oost-Vlaamse academie (OBAC);   - de heer Jogchum Vrielink  (N), senior onderzoeker, KU Leuven;   - de heer Luc Walleyn  (N), advocaat (balie Brussel en bij het Internationaal Strafgerechtshof), plaatsvervangend vrederechter;   - de heer Patrick Wautelet  (F), hoogleraar aan de Rechtsfaculteit ULG;   - mevrouw Marijke Weewauters  (N), manager op het Instituut voor de gelijkheid van Vrouwen en Mannen;   - de heer Victor Yangandi  (F), senior legal counsel bij het Instituut van de bedrijfsrevisoren.       J'attire votre attention sur le fait que Mme Nathalie Diesbecq et M. Marc Gross ne sont candidats que pour un mandat de membre effectif alors que M. Stefaan Peirsman n'est candidat que pour un mandat de membre suppléant.   Ik vestig er uw aandacht op dat mevrouw Nathalie Diesbecq en de heer Marc Gross alleen kandidaten zijn voor een mandaat van vast lid terwijl de heer Stefaan Peirsman alleen kandidaat is voor een mandaat van plaatsvervangend lid.       Les candidatures suivantes n'ont pas été introduites dans les délais requis :   - Mme Jamila Hamddan Lachkar,   - M. François Haenecour,   - M. Francis Van Loon.   Je vous propose de les déclarer irrecevables.   De volgende kandidaturen werden niet binnen de voorgeschreven termijn ingediend:   - mevrouw Jamila Hamddan Lachkar,   - de heer François Haenecour,   - de heer Francis Van Loon.   Ik stel u voor ze als onontvankelijk te beschouwen.       Pas d'observation? (Non)   Il en sera ainsi.       Geen bezwaar? (Nee)   Aldus wordt besloten.        
10	Barbara Pas (VB): Mijnheer de voorzitter, ik ben ingeschreven op de sprekerslijst om kort te interveniëren over de benoemingen van de leden van de raad van bestuur. Wanneer zou dat kunnen?       De  
