body	id	
1	לאחרונה נפתחה לשכת משרד הפנים בכרמיאל, כי כל האזור היה אמור לקבל את השירות בעכו. אבל משום מה הלשכה הזאת שנפתחה בכרמיאל משרתת רק את היישוב כרמיאל ואת היישובים היהודיים במשגב, ולא נותנת שירות לכפרים הערביים מסביב, כמו ראמה, מג'ד-אלכרום, נחף, דיר-אלאסד ובענה. מדוע האנשים האלה – וכרמיאל נמצאת בטווח של קילומטר אחד והיא נבנתה על האדמות שלהם – לא יכולים לקבל את השירות בכרמיאל וחייבים לנסוע לעכו כאשר יש שם לשכה? 
2	אנחנו אמנם מצפים בכל מאודנו לשובו של יהונתן (פולארד), ואולם אל לאיש, מימין או משמאל, להשתמש בו, ביהונתן, כמשקל נגד לארץ-ישראל. שחרורו של פולארד הוא נושא נפרד ועצמאי בתוך מערכת יחסינו עם האמריקנים, ועלינו להמשיך לתבוע את שחרורו ללא הרף. יהונתן צריך לשוב לעמו ולארצו, בזכות ולא בחסד; בדין, ולא כמחווה של רצון טוב, כי מידת הדין מיצתה את עצמה. 
3	עצה שלי: כמה שפחות נערבב את הנושאים, כי לצערי יש ערבוב. ברגע שאתה מדבר על קנביס רפואי אז אומרים: אתה בעד סמים? אתה בעד שימוש בסמים קלים? אתה בעד שנהיה כמו הולנד וכל מיני דברים כאלה. כמה שנצליח להפריד בין הדברים האלה ולהקל על חולים קשים או סופניים שדברים אחרים לא עוזרים להם, ולהשאיר בצד את כל הטיפול, שאני מאד מסכים אתך, בהברחות סמים ובחינוך נגד שימוש בסמים וכל הדברים האלה, לדעתי, כך ייטב לשני הדברים, גם לשימוש הרפואי למה שצריך וגם למאבק בסמים, שלא יתערבבו לנו פה נושאים שלא קשורים.
4	מאוד פשוט, תמיד ההתחלה, כמו שהיה גם בעיתונים הגדולים, כשפרצו את זה בהתחלה בחוזים אישיים, זה היה בשביל לתגמל את המוכשרים והחזקים. אבל בסופו של דבר, זה פורץ את המסגרת וזה מאפשר גם את הניצול של החלשים. 
5	לגבי התחקיר המבצעי שנעשה, אני מניח שבתחקיר המבצעי הזה, החלק מהשאלות שעלו כאן, לגבי רמת האחריות של המפקדים וגם התפקוד של המפקדים בעיקר בנושא של פיקוד ושליטה, הייתה נאמר אחת השאלות המרכזיות של התחקיר. האם התחקיר הזה הוצג, לפחות בעיקרי התחקיר, הוצגו כאן בוועדה? האם אפשר לקבל את הדבר הזה? 
6	כשכולם ביקשו בכנסת להוריד את האגרה, אני נלחמתי והייתי מהמצביעים היחידים להעלות את האגרה. להעלות, לא להשאיר אותה אפילו, להעלות אותה. כשבכנסת ישראל הרוב נגד רשות השידור, אני כל הזמן ראיתי את עצמי בצד של השידור הציבורי, וגם היום אני עומד מאחורי השידור הציבורי. אבל אני אומר לך אדוני היושב ראש שכולנו, ואני אומר את זה, זה יהיה פשע אם אנחנו נמשיך וניתן לדברים להתנהל באופן שהם מתנהלים היום. 
7	אין ספק שהמורשת היהודית של בני עדות יוצאי ספרד וצפון-אפריקה היא ודאי חלק ניכר ונכבד במורשת היהודית פה בארץ, וודאי שיש לה זכויות רבות גם בבנייה ובפיתוח הארץ היום, והגיע הזמן לשנות את השיח ממימונה גם לדברים אחרים שקשורים גם לאמונה ולדברים אחרים, אבל לא כל היום רק המימונה והמופלטות. אין לי שום דבר נגד מימונה ומופלטות, אבל יש גם דברים נוספים. 
8	פעוטות בסיכון לא יהיו כפופים. פעוטות בסיכון בלבד. לא דיברתי על ליצור את השינויים הגדולים, האחרים, שעליהם יש לי גם התייחסויות לדיון אחר. פעוטות בסיכון לא יהיו כפופים למגבלות התקציב: לא של מיצוי ההשתכרות במחשבה עתידית, ולא של מתווה משותף, ועוד כל מיני דברים אחרים. - - - הפעוט הוא בסיכון. נסתכל מצד הילד, ולא מצד האם אבא שלו לומד בישיבה עכשיו או אימא שלו עובדת רק 20 שעות, כי היא לא מצאה עבדה, כן מצאה עבודה, חד הורית או לא יודע מה. נסתכל על טובת הפעוט, ונגיד שאותו נחריג מכל קונסטלציה של שיקול כלכלי אחר. 
9	אחד הדברים שהטרידו אותי מתוך השמועות שהתחילו כבר לדלוף בתקשורת על חוק ההסדרים, אחד הדברים שמטרידים אותי הוא דווקא כוונת שר האוצר לקצץ בקצבאות הילדים של העשירים ביותר. למה זה מטריד אותי? הרי אין ספק ששרי אריסון לא צריכה קצבת ילדים. כי הקו שעובר בין צדק לצדקה קשור לשינויים מבניים. צדקה זה כשמישהו עושה לך ג'סטה; צדק זה משהו שמגיע לך בדין. התחושה היא אחרת לגמרי. קצבאות ילדים או כל שירות אחר של המדינה צריכים בעיני להיות אוניברסליים. 
10	ההסדרה הקיימת היום, של יידוע בדבר הסכנות ברשת וחובה לספק תוכנות סינון חינם, הינה מידתית יותר ביחס להצעה המוצעת כעת ומאזנת בין הרצון הנכון והלגיטימי להגן על ילדים מפני חשיפה לתכנים פוגעניים לבין מימוש חופש הביטוי. 
